sv_type	frequency	noncoding_functional_intersection	functional_category	genic_relationship	gene_group
DUP	RARE	PREDICTED_NONCODING_BREAKPOINT	ewing_and_osteosarcoma_atac_peaks	PREDICTED_INTERGENIC	constrained
DEL	COMMON	PREDICTED_NONCODING_SPAN	ewing_chromHMM15_EnhBiv	PREDICTED_INTERGENIC.PREDICTED_NEAREST_TSS	protein_coding
CPX	ANY	ANY	ewing_H3K27Ac_peak	PREDICTED_INTRONIC	cosmic_cancer_genes
"INS:ME_ALL	"			ewing_ABC_MAX_enhancer	PREDICTED_PROMOTER	germline_CPGs
INV			ewing_chromHMM15_Enh	PREDICTED_UTR	
INS			ewing_chromHMM15_TssAFlnk	PREDICTED_INV_SPAN	
INS_ALL			ewing_and_osteosarcoma_atac_peaks_conserved	ANY	
ANY			ewing_and_osteosarcoma_tad_boundary		
			ewing_chromHMM15_EnhBiv_conserved		
			ewing_chromHMM15_TssAFlnk_conserved		
			ewing_H3K27Ac_peak_conserved		
			ewing_and_osteosarcoma_tad_boundary_conserved		
			ewing_chromHMM15_Enh_conserved		
			ewing_encode_consensus_enhancers		
			ewing_encode_consensus_enhancers_conserved		
			ewing_ABC_MAX_enhancer_conserved		
			ewing_chromHMM15_EnhG		
			ewing_chromHMM15_EnhG_conserved		
			recombination_hotspot		
			recombination_hotspot_conserved		
			UCNE		
			fragile_site		
