sv_type	frequency	noncoding_functional_intersection	functional_category	genic_relationship	gene_group
DUP	RARE	PREDICTED_NONCODING_BREAKPOINT	neuroblastoma_atac_peaks	PREDICTED_INTERGENIC	constrained
DEL	COMMON	PREDICTED_NONCODING_SPAN	neuroblastoma_chromHMM15_Enh	PREDICTED_INTERGENIC.PREDICTED_NEAREST_TSS	protein_coding
CPX	ANY	ANY	neuroblastoma_chromHMM15_Enh_conserved	PREDICTED_INTRONIC	cosmic_cancer_genes
"INS:ME_ALL	"			neuroblastoma_chromHMM15_EnhG	PREDICTED_PROMOTER	germline_CPGs
INV			neuroblastoma_chromHMM15_EnhG_conserved	PREDICTED_UTR	
INS			neuroblastoma_H3K27Ac_peak	PREDICTED_INV_SPAN	
INS_ALL			neuroblastoma_chromHMM15_TssAFlnk	ANY	
ANY			neuroblastoma_ABC_MAX_enhancer		
			neuroblastoma_atac_peaks_conserved		
			neuroblastoma_chromHMM15_EnhBiv		
			neuroblastoma_chromHMM15_EnhBiv_conserved		
			neuroblastoma_H3K27Ac_peak_conserved		
			neuroblastoma_encode_consensus_enhancers		
			neuroblastoma_encode_consensus_enhancers_conserved		
			neuroblastoma_ABC_MAX_enhancer_conserved		
			neuroblastoma_tad_boundary		
			neuroblastoma_chromHMM15_TssAFlnk_conserved		
			neuroblastoma_tad_boundary_conserved		
			recombination_hotspot		
			recombination_hotspot_conserved		
			UCNE		
			fragile_site		
