sv_type	frequency	noncoding_functional_intersection	functional_category	genic_relationship	gene_group
DUP	RARE	PREDICTED_NONCODING_BREAKPOINT	ewing_and_osteosarcoma_atac_peaks	PREDICTED_INTERGENIC	constrained
DEL	COMMON	PREDICTED_NONCODING_SPAN	osteosarcoma_H3K27Ac_peak	PREDICTED_INTERGENIC.PREDICTED_NEAREST_TSS	protein_coding
CPX	ANY	ANY	osteosarcoma_ABC_MAX_enhancer	PREDICTED_INTRONIC	cosmic_cancer_genes
"INS:ME_ALL	"			osteosarcoma_chromHMM15_TssAFlnk	PREDICTED_PROMOTER	germline_CPGs
INV			osteosarcoma_chromHMM15_Enh	PREDICTED_UTR	
INS			osteosarcoma_chromHMM15_EnhG	PREDICTED_INV_SPAN	
INS_ALL			ewing_and_osteosarcoma_atac_peaks_conserved	ANY	
ANY			ewing_and_osteosarcoma_tad_boundary		
			osteosarcoma_chromHMM15_Enh_conserved		
			osteosarcoma_chromHMM15_EnhBiv		
			osteosarcoma_chromHMM15_EnhBiv_conserved		
			osteosarcoma_chromHMM15_TssAFlnk_conserved		
			osteosarcoma_ABC_MAX_enhancer_conserved		
			osteosarcoma_H3K27Ac_peak_conserved		
			osteosarcoma_encode_consensus_enhancers		
			ewing_and_osteosarcoma_tad_boundary_conserved		
			osteosarcoma_encode_consensus_enhancers_conserved		
			osteosarcoma_chromHMM15_EnhG_conserved		
			recombination_hotspot		
			recombination_hotspot_conserved		
			UCNE		
			fragile_site		
