point_estimate	std_error	z_score	p_value	SV_counts_cases	SV_counts_cases_max	number_of_cases_with_zero_SVs	total_cases	SV_counts_controls	SV_counts_controls_max	number_of_controls_with_zero_SVs	total_controls	number_of_unique_SVs	category_name
0.0860695786178608	0.317722587213261	0.270895372509633	0.786471504207272	12	1	757	769	75	2	4500	4571	91	DUP.RARE.PREDICTED_COPY_GAIN.lof_constrained.expressed_in_muscle_skeletal.protein_coding
-0.403844609481228	0.430203603088304	-0.938729026400866	0.34786988658422	6	1	743	749	51	2	4400	4449	48	DUP.RARE.PREDICTED_COPY_GAIN.ANY.ANY.signaling_transduction_by_receptor_tyrosine_kinases_genes
0.15937087686776	0.260857419387317	0.610950139896649	0.541232589457096	19	1	751	770	103	1	4465	4568	35	DUP.RARE.PREDICTED_INTRAGENIC_EXON_DUP.lof_constrained.expressed_in_muscle_skeletal.protein_coding
0.91094265109759	0.637185925603784	1.4296339804342	0.152822097514738	3	1	737	740	8	2	4323	4330	17	DEL.SINGLETON.ANY.ANY.ANY.base_excision_repair_genes
0.367320610066602	0.350538270718066	1.04787591184882	0.294695781718075	8	1	742	750	32	4	4421	4450	51	DEL.SINGLETON.ANY.ANY.ANY.chromatin_organization_genes
0.594968769164649	0.468115670255862	1.27098665344711	0.203733396775539	6	1	744	750	20	2	4431	4450	45	DEL.SINGLETON.ANY.ANY.ANY.dna_DSB_repair_genes
1.03822126806487	0.735592834113319	1.41140753405562	0.158124482743351	3	1	747	750	7	1	4439	4446	15	DEL.SINGLETON.ANY.ANY.ANY.dna_DSB_response_genes
0.716362028894463	0.308785202391369	2.31993639379944	0.0203443184450157	15	1	735	750	46	2	4405	4450	86	DEL.SINGLETON.ANY.ANY.ANY.dna_repair_genes
0.48415963903004	0.829484295182323	0.583687529519314	0.559430558796228	2	1	747	749	8	1	4442	4450	12	DEL.SINGLETON.ANY.ANY.ANY.fanconi_genes
0.765687127969125	0.566237830608009	1.35223590968296	0.176299859547771	4	1	746	750	11	2	4439	4449	21	DEL.SINGLETON.ANY.ANY.ANY.nucleotide_excision_repair_genes
