gene_chrom	gene_start	gene_end	gene	TAD_chrom	TAD_bp1	TAD_bp2	TAD_ID
chr1	3069168	3438621	PRDM16	chr1	3000000	3420000	TAD_1334
chr1	3069168	3438621	PRDM16	chr1	3060000	3260000	TAD_1628
chr1	2425980	2505532	PLCH2	chr1	2410000	2550000	TAD_1319
chr1	9292894	9369532	SPSB1	chr1	8900000	9580000	TAD_1306
chr1	9292894	9369532	SPSB1	chr1	9100000	9580000	TAD_1375
chr1	9292894	9369532	SPSB1	chr1	9280000	9480000	TAD_1548
chr1	9035106	9088478	SLC2A5	chr1	8900000	9580000	TAD_1306
chr1	11479155	11537551	DISP3	chr1	11300000	11640000	TAD_1443
chr1	15152532	15220478	TMEM51	chr1	15110000	15300000	TAD_1410
chr1	15152532	15220478	TMEM51	chr1	15110000	15510000	TAD_1324
chr1	2508537	2526597	PANK4	chr1	2410000	2550000	TAD_1319
chr1	9100305	9129102	GPR157	chr1	8900000	9580000	TAD_1306
chr1	9100305	9129102	GPR157	chr1	9100000	9580000	TAD_1375
chr1	22428838	22531157	ZBTB40	chr1	22420000	22650000	TAD_1579
chr1	5862811	5992473	NPHP4	chr1	3910000	5930000	TAD_1264
chr1	2528745	2530263	HES5	chr1	2410000	2550000	TAD_1319
chr1	28369582	28500364	PHACTR4	chr1	28360000	28610000	TAD_1487
chr1	27098809	27166981	SLC9A1	chr1	26960000	27280000	TAD_1500
chr1	4654609	4792534	AJAP1	chr1	3910000	5930000	TAD_1264
chr1	28147166	28193936	PTAFR	chr1	27710000	28220000	TAD_1317
chr1	9539465	9585173	SLC25A33	chr1	8900000	9580000	TAD_1306
chr1	9539465	9585173	SLC25A33	chr1	9100000	9580000	TAD_1375
chr1	27970344	28088637	EYA3	chr1	27710000	28220000	TAD_1317
chr1	27970344	28088637	EYA3	chr1	27850000	27990000	TAD_1629
chr1	13892792	15118043	KAZN	chr1	13650000	13960000	TAD_1304
chr1	20028179	20091911	PLA2G5	chr1	19910000	20180000	TAD_1569
chr1	32465072	32496686	ZBTB8B	chr1	32420000	32640000	TAD_1608
chr1	18630846	18748866	PAX7	chr1	18580000	18860000	TAD_1460
chr1	10636604	10796650	CASZ1	chr1	10500000	10910000	TAD_1466
chr1	36795527	37034515	GRIK3	chr1	36510000	37430000	TAD_1280
chr1	20111939	20119566	PLA2G2D	chr1	19910000	20180000	TAD_1569
chr1	35599541	35641526	PSMB2	chr1	35570000	35770000	TAD_1556
chr1	36224432	36305357	THRAP3	chr1	36090000	36440000	TAD_1469
chr1	17308195	17364004	PADI4	chr1	17060000	17360000	TAD_1296
chr1	38885807	38941830	RHBDL2	chr1	38850000	39080000	TAD_1465
chr1	35713877	35718894	C1orf216	chr1	35570000	35770000	TAD_1556
chr1	40161387	40240921	RLF	chr1	40080000	40510000	TAD_1344
chr1	35720218	35769978	CLSPN	chr1	35570000	35770000	TAD_1556
chr1	2321253	2391707	MORN1	chr1	2190000	2380000	TAD_1462
chr1	54779712	54801323	TTC22	chr1	54500000	54830000	TAD_1565
chr1	54779712	54801323	TTC22	chr1	54670000	54810000	TAD_1620
chr1	43300982	43323108	TIE1	chr1	43220000	43440000	TAD_1520
chr1	38862493	38873368	MYCBP	chr1	38850000	39080000	TAD_1465
chr1	40620680	40665682	RIMS3	chr1	40580000	40810000	TAD_1614
chr1	40620680	40665682	RIMS3	chr1	40580000	40970000	TAD_1438
chr1	54609181	54623556	FAM151A	chr1	54500000	54830000	TAD_1565
chr1	43281877	43285617	C1orf210	chr1	43220000	43440000	TAD_1520
